playerID,year,contractSalary,contractCreateDate,contractExpireDate,year_signed,contract_years
00-0032070,2018,0.54,2016-03-01,2019-03-01,2016,3
00-0035529,2021,0.8375,2021-03-01,2023-03-01,2021,2
00-0035280,2021,0.70252,2019-03-01,2023-03-01,2019,4
00-0033261,2021,0.555,2020-03-01,2022-03-01,2020,2
00-0037007,2023,1.217524,2021-03-01,2025-03-01,2021,4
00-0030527,2014,1.757506,2013-03-01,2017-03-01,2013,4
00-0039810,2027,1.455224,2024-03-01,2028-03-01,2024,4
00-0030456,2020,5.15,2019-03-01,2021-03-01,2019,2
00-0032973,2018,0.555,2018-03-01,2019-03-01,2018,1
00-0040141,2027,1.601248,2025-03-01,2029-03-01,2025,4
00-0031235,2014,2.60155,2014-03-01,2018-03-01,2014,4
00-0032964,2018,0.54,2016-03-01,2019-03-01,2016,3
00-0036754,2025,4.0,2024-03-01,2027-03-01,2024,3
00-0025453,1,1.175,,0002-03-01,0,2
00-0028000,2011,0.809097,2011-03-01,2015-03-01,2011,4
00-0036627,2022,1.069952,2021-03-01,2025-03-01,2021,4
00-0022350,2004,0.272,2004-03-01,2006-03-01,2004,2
00-0033379,2018,0.48,2018-03-01,2019-03-01,2018,1
00-0036080,2023,0.87,2023-03-01,2024-03-01,2023,1
00-0036654,2023,0.910286,2021-03-01,2025-03-01,2021,4
00-0036101,2023,0.94,2023-03-01,2024-03-01,2023,1
00-0023180,2014,4.0,2011-03-01,2015-03-01,2011,4
00-0033450,2018,0.60025,2018-03-01,2020-03-01,2018,2
00-0036943,2026,1.391667,2025-03-01,2028-03-01,2025,3
00-0040470,2027,0.991667,2025-03-01,2028-03-01,2025,3
00-0040705,2025,1.350238,2025-03-01,2029-03-01,2025,4
00-0028132,2012,0.39,2012-03-01,2013-03-01,2012,1
00-0039343,2027,2.253698,2024-03-01,2028-03-01,2024,4
00-0026990,2022,8.0,2020-03-01,2024-03-01,2020,4
00-0032592,2016,0.495,2016-03-01,2018-03-01,2016,2
00-0027971,2011,1.326026,2011-03-01,2015-03-01,2011,4
00-0032931,2019,0.57,2018-03-01,2021-03-01,2018,3
00-0037620,2024,0.9359,2022-03-01,2026-03-01,2022,4
00-0036886,2021,0.994836,2021-03-01,2025-03-01,2021,4
00-0032113,2018,0.621209,2015-03-01,2019-03-01,2015,4
00-0027973,2019,16.0,2014-03-01,2020-03-01,2014,6
00-0035810,2021,0.7625,2020-03-01,2023-03-01,2020,3
00-0031590,2015,0.625203,2015-03-01,2019-03-01,2015,4
00-0025412,2014,5.666667,2014-03-01,2017-03-01,2014,3
00-0036788,2022,0.810667,2021-03-01,2024-03-01,2021,3
00-0032115,2017,0.602619,2015-03-01,2019-03-01,2015,4
00-0030273,2015,0.497333,2013-03-01,2016-03-01,2013,3
00-0025557,2010,1.101,2010-03-01,2011-03-01,2010,1
00-0040245,2026,1.075418,2025-03-01,2029-03-01,2025,4
00-0039792,2026,1.204463,2024-03-01,2028-03-01,2024,4
00-0026982,2011,7.0,2009-03-01,2015-03-01,2009,6
00-0036067,2022,0.763333,2020-03-01,2023-03-01,2020,3
00-0032987,2016,0.541668,2016-03-01,2019-03-01,2016,3
00-0030780,2014,0.513333,2014-03-01,2017-03-01,2014,3
00-0035299,2019,0.66196,2019-03-01,2023-03-01,2019,4
00-0030463,2018,5.0,2017-03-01,2020-03-01,2017,3
00-0031134,0,0.555,,0002-03-01,0,2
00-0035602,2021,0.586667,2019-03-01,2022-03-01,2019,3
00-0034162,2020,0.669389,2018-03-01,2022-03-01,2018,4
00-0030962,2018,0.51,2017-03-01,2019-03-01,2017,2
00-0031015,2015,0.706028,2014-03-01,2018-03-01,2014,4
00-0030382,2013,1.097575,2013-03-01,2017-03-01,2013,4
00-0036947,2024,0.985,2024-03-01,2025-03-01,2024,1
00-0030387,2016,0.587938,2013-03-01,2017-03-01,2013,4
00-0027696,2016,10.0,2014-03-01,2018-03-01,2014,4
00-0037662,2025,0.8775,2024-03-01,2026-03-01,2024,2
00-0032959,2019,0.602095,2016-03-01,2020-03-01,2016,4
00-0035998,2022,0.825,2022-03-01,2023-03-01,2022,1
00-0032667,2018,0.542333,2016-03-01,2019-03-01,2016,3
00-0025395,2009,0.0,2007-03-01,2012-03-01,2007,5
00-0023904,0,0.645,,0001-03-01,0,1
00-0033293,2026,10.0,2025-03-01,2027-03-01,2025,2
00-0026158,2024,4.5,2024-03-01,2025-03-01,2024,1
00-0025557,2007,0.407133,2007-03-01,2010-03-01,2007,3
00-0032905,2019,0.69,2019-03-01,2021-03-01,2019,2
00-0037431,2023,0.92925,2023-03-01,2025-03-01,2023,2
00-0040075,2026,1.103717,2025-03-01,2029-03-01,2025,4
00-0029296,2015,0.553363,2012-03-01,2016-03-01,2012,4
00-0032967,2020,7.5,2020-03-01,2022-03-01,2020,2
00-0035849,2023,0.9525,2022-03-01,2024-03-01,2022,2
00-0027990,2013,0.94395,2011-03-01,2015-03-01,2011,4
00-0034835,2024,1.125,2024-03-01,2025-03-01,2024,1
00-0038131,2024,1.499494,2022-03-01,2026-03-01,2022,4
00-0040398,2025,0.99,2025-03-01,2028-03-01,2025,3
00-0028024,2020,4.5,2020-03-01,2021-03-01,2020,1
00-0022341,2007,0.0,2006-03-01,2009-03-01,2006,3
00-0036792,2024,0.9275,2023-03-01,2025-03-01,2023,2
00-0037835,2027,22.5,2025-03-01,2029-03-01,2025,4
00-0028591,2012,0.54,2011-03-01,2013-03-01,2011,2
00-0038877,2025,0.905,2023-03-01,2026-03-01,2023,3
00-0036875,2027,9.0,2024-03-01,2028-03-01,2024,4
00-0023682,2019,5.5,2019-03-01,2021-03-01,2019,2
00-0031271,2015,0.566787,2014-03-01,2018-03-01,2014,4
00-0029894,2020,0.615,2019-03-01,2021-03-01,2019,2
00-0035880,2022,0.7875,2022-03-01,2024-03-01,2022,2
00-0039614,2026,0.946667,2024-03-01,2027-03-01,2024,3
00-0029271,2012,0.641888,2012-03-01,2016-03-01,2012,4
00-0037245,2024,1.0075,2024-03-01,2026-03-01,2024,2
00-0023648,2008,0.635,2008-03-01,2009-03-01,2008,1
00-0031101,2015,0.513333,2014-03-01,2017-03-01,2014,3
00-0029168,2016,0.675,2016-03-01,2017-03-01,2016,1
00-0022684,2015,1.833333,2014-03-01,2017-03-01,2014,3
00-0026391,0,0.0,,0001-03-01,0,1
00-0034432,2021,0.85,2021-03-01,2022-03-01,2021,1
00-0034383,2018,0.728089,2018-03-01,2022-03-01,2018,4
